epoch,loss,f1,precision,recall,seconds,hyper_parameters
1,1094.0849406123161,0.674126280822448,0.7229199372056515,0.6261046906866078,342,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-08}"
2,624.7707750182599,0.7143904930080279,0.7198192382182053,0.7579877634262406,348,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-08}"
3,279.69749433454126,0.7258800128327346,0.7848,0.6668932698844323,354,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-08}"
4,136.81330349168275,0.7410762850503394,0.7427652733118971,0.7851801495581238,358,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-08}"
5,74.35758362396155,0.7284288064211333,0.713697824808936,0.8252889191026512,358,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-08}"
6,40.77564546326175,0.7362194988124656,0.7473262032085561,0.7600271923861319,360,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-08}"
7,60.11549760197522,0.7223162556251402,0.7694081475787855,0.6804894629503739,355,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-08}"
8,53.843625803187024,0.7343763526746034,0.7448367754830113,0.7600271923861319,351,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-08}"
9,42.252446481754305,0.7384330150377894,0.768565248738284,0.7246770904146839,353,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-08}"
10,51.02939095493639,0.7427330510217269,0.7678697806086341,0.7375934738273283,351,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-08}"
1,998.4222865402699,0.7272404917247196,0.7203182374541004,0.8001359619306594,347,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-09}"
2,511.5851998021826,0.7143824343572872,0.7609531129900077,0.6730115567641061,346,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-09}"
3,229.74160754913464,0.7207665107608928,0.7543859649122807,0.7015635622025833,343,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-09}"
