epoch,loss,f1,precision,recall,seconds,hyper_parameters,total
1,1351.0598807930946,0.6053191925525547,0.6466926070038911,0.5649218218898708,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 5e-10}"
2,1120.837385982275,0.6349191726995939,0.6711509715994021,0.610469068660775,326,"{'batch_size': 6, 'lr': 5e-06, 'eps': 5e-10}"
3,835.3515839576721,0.6580175850749872,0.6760942760942761,0.6825288919102651,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 5e-10}"
4,526.9534064233303,0.6678153056287885,0.6860622462787551,0.6893269884432359,328,"{'batch_size': 6, 'lr': 5e-06, 'eps': 5e-10}"
5,294.3073311308399,0.6634413070697672,0.6644578313253012,0.7498300475866757,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 5e-10}"
6,181.52461452921852,0.6679109768489935,0.7102446483180428,0.6315431679129844,329,"{'batch_size': 6, 'lr': 5e-06, 'eps': 5e-10}"
7,128.89430548553355,0.6663520849545692,0.6668674698795181,0.752549286199864,328,"{'batch_size': 6, 'lr': 5e-06, 'eps': 5e-10}"
8,87.40979586343747,0.6666795966637487,0.6749363867684478,0.7212780421481985,329,"{'batch_size': 6, 'lr': 5e-06, 'eps': 5e-10}"
9,92.75976392650045,0.6585985680135852,0.6511369938990571,0.7980965329707682,329,"{'batch_size': 6, 'lr': 5e-06, 'eps': 5e-10}"
10,78.24714499304537,0.673080930142694,0.6952908587257618,0.6825288919102651,329,"{'batch_size': 6, 'lr': 5e-06, 'eps': 5e-10}"
1,1349.4377871155739,0.6041227268120564,0.6133567662565905,0.7117607070020394,327,"{'batch_size': 6, 'lr': 5e-06, 'eps': 1e-09}"
2,1122.0691332519054,0.6344968062017762,0.6385115180153573,0.7348742352141401,330,"{'batch_size': 6, 'lr': 5e-06, 'eps': 1e-09}"
3,859.5132753103971,0.6568627390501305,0.6681701030927835,0.7049626104690686,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 1e-09}"
4,592.5559455305338,0.6846657741244924,0.7081005586592178,0.6893269884432359,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 1e-09}"
5,362.05695863068104,0.6781884612726667,0.6747919143876338,0.7715839564921821,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 1e-09}"
6,243.12355331424624,0.6606947422931517,0.6605231866825209,0.7552685248130524,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 1e-09}"
7,138.859554217197,0.7063544597033905,0.7397660818713451,0.6879673691366417,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 1e-09}"
8,112.99684205115773,0.6781419763256946,0.7263487099296325,0.6315431679129844,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 1e-09}"
9,92.44718222611118,0.7037816528884369,0.7036114570361146,0.7681849082256968,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 1e-09}"
10,62.592520079400856,0.6901550796492689,0.7368421052631579,0.6471787899388172,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 1e-09}"
1,1365.6763688325882,0.5471077748041164,0.5687847008019741,0.6267845003399048,329,"{'batch_size': 6, 'lr': 5e-06, 'eps': 2e-09}"
2,1253.0212996304035,0.6339141218783525,0.6674025018395879,0.6165873555404486,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 2e-09}"
3,995.218485981226,0.6598906108071045,0.6897048236141109,0.6512576478585996,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 2e-09}"
4,752.7484445124865,0.6823713871383665,0.7245053272450532,0.6471787899388172,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 2e-09}"
5,525.3773809541017,0.6685106034348975,0.6652965355255431,0.770224337185588,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 2e-09}"
6,319.4234448261559,0.6825713415260262,0.7159590043923866,0.6648538409245411,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 2e-09}"
7,193.330249639228,0.6779296135272747,0.6791411042944785,0.752549286199864,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 2e-09}"
8,136.22486876591574,0.6808096719559525,0.6874602164226608,0.7341944255608429,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 2e-09}"
9,98.86434215074405,0.6753413769436619,0.7009873060648801,0.6757307953772943,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 2e-09}"
10,91.28803592710756,0.6651379686296097,0.6654654654654655,0.7532290958531611,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 2e-09}"
1,1341.0694099664688,0.6160577129349001,0.6273904996915485,0.6913664174031271,329,"{'batch_size': 6, 'lr': 5e-06, 'eps': 3.0000000000000004e-09}"
2,1097.032467842102,0.67403147240672,0.6798991808443604,0.7335146159075459,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 3.0000000000000004e-09}"
3,775.3266619741917,0.6983504635576018,0.7042976266837716,0.7464309993201903,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 3.0000000000000004e-09}"
4,454.7382898610085,0.696279585100914,0.7262247838616714,0.6852481305234535,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 3.0000000000000004e-09}"
5,254.68673862423748,0.6242596357875988,0.6183778715424285,0.8966689326988443,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 3.0000000000000004e-09}"
6,161.20780163211748,0.6965433457231454,0.7108433734939759,0.7219578518014956,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 3.0000000000000004e-09}"
7,128.16469865106046,0.6873539347424703,0.6934353091140854,0.7396329027872196,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 3.0000000000000004e-09}"
8,93.97790852957405,0.6929714527022821,0.6826589595375723,0.8028552005438477,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 3.0000000000000004e-09}"
9,78.63140218774788,0.7088147775661182,0.7316561844863732,0.7117607070020394,331,"{'batch_size': 6, 'lr': 5e-06, 'eps': 3.0000000000000004e-09}"
10,65.5321627020603,0.687919935589707,0.7116864940517844,0.6913664174031271,332,"{'batch_size': 6, 'lr': 5e-06, 'eps': 3.0000000000000004e-09}"
1,1365.2061937451363,0.5521551229894341,0.5814285714285714,0.5533650577838205,330,"{'batch_size': 6, 'lr': 1e-05, 'eps': 5e-10}"
2,1169.7239355295897,0.6373984633390214,0.6817472698907956,0.5941536369816451,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 5e-10}"
3,862.4351021274924,0.6630844138739801,0.6887323943661972,0.6648538409245411,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 5e-10}"
4,584.2611790057272,0.6951886558819403,0.6895933014354066,0.7838205302515295,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 5e-10}"
5,366.5986328050494,0.6866673613976005,0.7056010928961749,0.7022433718558804,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 5e-10}"
6,204.13143518730067,0.6919970229145597,0.692450495049505,0.760707002039429,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 5e-10}"
7,121.32884736242704,0.689357530482998,0.7267311988086373,0.663494221617947,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 5e-10}"
8,84.01794700114988,0.6951951702093808,0.7269426289034132,0.6804894629503739,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 5e-10}"
9,84.03735608357238,0.692024095276805,0.7040951122853368,0.7246770904146839,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 5e-10}"
10,74.84618230728665,0.6988535346217463,0.7099538562953197,0.7321549966009517,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 5e-10}"
1,1311.1645871698856,0.6044125630168854,0.6127167630057804,0.7205982324949014,329,"{'batch_size': 6, 'lr': 1e-05, 'eps': 1e-09}"
2,1059.8560717254877,0.6681704435257247,0.6789644012944984,0.7131203263086335,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 1e-09}"
3,776.3575131930411,0.7070254783627915,0.7444279346210996,0.681169272603671,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 1e-09}"
4,502.34700615052134,0.709609991854371,0.7393808495320374,0.6981645139360979,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 1e-09}"
5,324.161425746046,0.7065882153624212,0.6994601079784043,0.7926580557443915,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 1e-09}"
6,201.16241713089403,0.7117457154305062,0.7374380750176929,0.708361658735554,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 1e-09}"
7,121.12817910965532,0.7008289824278906,0.6833611574846967,0.8348062542488104,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 1e-09}"
8,101.75048923748545,0.7147413577352273,0.7244561634805537,0.7471108089734875,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 1e-09}"
9,77.37690477745491,0.7007856578334822,0.6983445738810545,0.7743031951053705,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 1e-09}"
10,60.78877994790673,0.714970161792374,0.7514792899408284,0.69068660774983,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 1e-09}"
1,1375.1022946834564,0.5141371139942987,0.5605150214592275,0.8878314072059823,329,"{'batch_size': 6, 'lr': 1e-05, 'eps': 2e-09}"
2,1219.3289627730846,0.6428246313487234,0.6666666666666666,0.6526172671651937,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 2e-09}"
3,911.428983323276,0.709496067447982,0.7135549872122762,0.7586675730795377,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 2e-09}"
4,616.7440388128161,0.7280401283506585,0.7272727272727273,0.7831407205982325,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 2e-09}"
5,348.7807438392192,0.7075403273177541,0.7077596996245307,0.7688647178789939,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 2e-09}"
6,196.3321280097589,0.6924087563636337,0.6729525862068966,0.849082256968049,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 2e-09}"
7,106.35088708566036,0.7302772765415411,0.7387862796833773,0.761386811692726,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 2e-09}"
8,88.82531445822679,0.7041221751459079,0.6897142857142857,0.8205302515295717,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 2e-09}"
9,67.16950359178009,0.7170389314459588,0.7075358851674641,0.8042148198504419,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 2e-09}"
